No,car_name,car_prices_in_rupee,kms_driven,fuel_type,transmission,ownership,manufacture,engine,Seats,Manufacture Date
739,Hyundai i20 Asta 1.2,4.79 Lakh,"50,827 kms",Petrol,Manual,2nd Owner,2015,1197 cc,5 Seats,"November 11, 2015"
740,Maruti Baleno 1.2 Alpha,5.53 Lakh,"69,167 kms",Petrol,Manual,1st Owner,2015,1995 cc,5 Seats,"April 12, 2015"
741,BMW 5 Series 520d Luxury Line,65.75 Lakh,"7,000 kms",Diesel,Automatic,1st Owner,2021,998 cc,5 Seats,"September 17, 2021"
742,Maruti Wagon R LXI CNG,4 Lakh,"25,000 kms",Cng,Manual,2nd Owner,2018,995 cc,5 Seats,"June 27, 2018"
743,Chevrolet Spark 1.0 LT,"99,205","84,489 kms",Petrol,Manual,3rd Owner,2011,1493 cc,5 Seats,"August 04, 2011"
744,Kia Seltos HTE D,11.82 Lakh,"35,343 kms",Diesel,Manual,1st Owner,2021,1995 cc,5 Seats,"April 12, 2021"
745,BMW 5 Series 520d Modern Line,29.50 Lakh,"41,000 kms",Diesel,Automatic,1st Owner,2017,998 cc,5 Seats,"September 17, 2017"
746,Maruti Wagon R VXI BS IV,2.36 Lakh,"1,00,527 kms",Petrol,Manual,1st Owner,2012,0 cc,5 Seats,"December 10, 2012"
747,Tata Nexon EV Prime XZ Plus,3.67 Lakh,"54,239 kms",Electric,Automatic,1st Owner,2020,799 cc,5 Seats,"April 27, 2020"
748,Renault KWID RXT Optional,3.13 Lakh,"26,457 kms",Petrol,Manual,3rd Owner,2018,2967 cc,5 Seats,"January 17, 2018"
749,Audi Q7 3.0 TDI Quattro Premium Plus,21.74 Lakh,"97,000 kms",Diesel,Automatic,2nd Owner,2014,1373 cc,7 Seats,"May 02, 2014"
750,Maruti Ertiga VXI CNG,4.86 Lakh,"67,231 kms",Cng,Manual,1st Owner,2014,1061 cc,7 Seats,"March 18, 2014"
751,Maruti Wagon R LXI Minor Duo LPG,1.21 Lakh,"74,228 kms",Lpg,Manual,1st Owner,2008,998 cc,5 Seats,"November 13, 2008"
752,Maruti Celerio VXI CNG Optional BSIV,4.51 Lakh,"55,362 kms",Cng,Manual,1st Owner,2017,1582 cc,5 Seats,"October 06, 2017"
753,Hyundai Creta 1.6 CRDi AT SX Plus,9.41 Lakh,"58,000 kms",Diesel,Automatic,1st Owner,2015,1197 cc,5 Seats,"July 27, 2015"
754,Hyundai i10 Magna AT,1.79 Lakh,"80,896 kms",Petrol,Automatic,3rd Owner,2010,2184 cc,5 Seats,"May 20, 2010"
755,Mahindra Thar LX 4-Str Hard Top Diesel,17.75 Lakh,"36,398 kms",Diesel,Manual,1st Owner,2021,998 cc,4 Seats,"January 16, 2021"
756,Maruti Wagon R LXI CNG,3.75 Lakh,"50,227 kms",Cng,Manual,1st Owner,2014,2755 cc,5 Seats,"September 03, 2014"
757,Toyota Fortuner Legender 4x4 AT,44.45 Lakh,"31,000 kms",Diesel,Automatic,1st Owner,2021,1197 cc,7 Seats,"June 07, 2021"
758,Maruti Baleno 1.2 Alpha,6.95 Lakh,"17,359 kms",Petrol,Manual,1st Owner,2016,999 cc,5 Seats,"April 26, 2016"
759,Skoda Slavia 1.0 TSI Ambition,12.70 Lakh,"2,263 kms",Petrol,Manual,1st Owner,2022,1497 cc,5 Seats,"October 02, 2022"
760,Honda City i VTEC CVT VX,6.65 Lakh,"81,437 kms",Petrol,Automatic,1st Owner,2014,2179 cc,5 Seats,"August 18, 2014"
761,Jaguar XF 2.2 Litre Luxury,24.74 Lakh,"34,000 kms",Diesel,Automatic,1st Owner,2016,2143 cc,5 Seats,"November 11, 2016"
762,Mercedes-Benz E-Class E250 CDI Avantgrade,19.25 Lakh,"80,228 kms",Diesel,Automatic,2nd Owner,2014,1498 cc,5 Seats,"March 19, 2014"
763,Honda City i DTec V,7.15 Lakh,"65,911 kms",Diesel,Manual,1st Owner,2016,1197 cc,5 Seats,"November 11, 2016"
